totalAmount,id,products,userId
{'N': '0'},{'S': '518855fa-0579-4e9f-9482-f374119b3f51'},"{'L': [{'M': {'productId': {'S': '522f3760-5875-4712-978f-c00d37f03f27'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '3fdb58ff-b4ce-4a25-8457-1ea0f38e1831'}, 'quantity': {'N': '4'}}}]}",{'S': '4b02147f-fd02-46a8-9bd2-98bed9fe64c6'}
{'N': '0'},{'S': '40885ce9-a1b3-4e5d-84c7-9ff15f686f78'},"{'L': [{'M': {'productId': {'S': '1efaecf3-56fb-4abc-8fa6-8cc0520c15c3'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '1efaecf3-56fb-4abc-8fa6-8cc0520c15c3'}, 'quantity': {'N': '2'}}}]}",{'S': '887c38f2-7228-4ba9-ba30-0b057fea062b'}
{'N': '0'},{'S': '3902bb5d-9363-44d3-8538-a37b484127ec'},"{'L': [{'M': {'productId': {'S': 'b0b7c66e-5be4-460f-afef-43bc0d8e0dfc'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '19b006ff-c340-4151-916a-dbbbcb717ddc'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '4e544aa2-9fb8-4fc3-9b5f-1efe995983b4'}, 'quantity': {'N': '2'}}}]}",{'S': '57eea59d-1136-462e-ae40-910e26f79168'}
{'N': '0'},{'S': '7c6e880e-7eb5-417a-b3f6-fdd7770f3f5b'},"{'L': [{'M': {'productId': {'S': '2d1345eb-d630-48a8-9307-0f71bc8380e8'}, 'quantity': {'N': '1'}}}]}",{'S': '6ba38195-e12d-4950-8f94-002c0d566867'}
{'N': '0'},{'S': 'c7ea3619-b598-4d47-9a76-c26e51be4c37'},"{'L': [{'M': {'productId': {'S': 'cfd91268-4da5-4fa7-ad23-4b8763477a2c'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '1efaecf3-56fb-4abc-8fa6-8cc0520c15c3'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '89a8e8e3-f62b-4082-8105-3ad994fd94cd'}, 'quantity': {'N': '3'}}}]}",{'S': '5c2933f1-64b8-463e-a6a1-c77cd876f128'}
{'N': '0'},{'S': 'a5c5675f-f68e-4b54-9655-6b935e942df6'},"{'L': [{'M': {'productId': {'S': '94983fec-470b-4105-a113-d75830cce0ab'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '5d60a4e5-a052-4589-88c7-19fbf7745f98'}, 'quantity': {'N': '4'}}}]}",{'S': '5bc36ac6-f5fb-4a54-89aa-0b6f41cf0942'}
{'N': '0'},{'S': 'f4dde2b9-450a-4b77-9472-bca5fd889b84'},"{'L': [{'M': {'productId': {'S': '9a438b65-a653-4408-802f-27ce83048606'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '76877de1-cc00-4347-b4d9-57125e4cea2e'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': 'cd8bfb4c-7cd2-42a4-9705-e6a35f1a79aa'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'e339b9e2-729a-430d-9426-06ee042e242d'}, 'quantity': {'N': '1'}}}]}",{'S': '5bc36ac6-f5fb-4a54-89aa-0b6f41cf0942'}
{'N': '0'},{'S': '8ecd5e53-714c-4256-88c0-dae8917c037f'},"{'L': [{'M': {'productId': {'S': '89a8e8e3-f62b-4082-8105-3ad994fd94cd'}, 'quantity': {'N': '2'}}}]}",{'S': '888cc892-afd3-45e1-ab1c-ac98d58e934b'}
{'N': '0'},{'S': '306302d9-5f1e-4a2b-9f0c-fe61b632f60a'},"{'L': [{'M': {'productId': {'S': '95ebdf10-bd0e-4288-b450-46fefd3204af'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'd24e729f-3111-4364-a3d2-210c5da3febb'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'c21a4257-afe6-4447-ab6a-d29618ee8d8d'}, 'quantity': {'N': '2'}}}]}",{'S': 'fcea5204-b631-40bd-a005-6c8ebf1f8ce5'}
{'N': '0'},{'S': '901b61ca-5759-44f3-836e-63ed0427ec34'},"{'L': [{'M': {'productId': {'S': 'be78d5a2-774a-480c-8370-0d1a4e4a62c1'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'd24e729f-3111-4364-a3d2-210c5da3febb'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '89a8e8e3-f62b-4082-8105-3ad994fd94cd'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': 'd24e729f-3111-4364-a3d2-210c5da3febb'}, 'quantity': {'N': '3'}}}]}",{'S': '51ff1b23-cf4c-481d-8db9-bfac9cf1ca67'}
{'N': '0'},{'S': '66ae10e5-e387-4245-a884-08264fa5d7e2'},"{'L': [{'M': {'productId': {'S': '6557a4a9-c06b-4c43-9b81-16453ef20a13'}, 'quantity': {'N': '4'}}}]}",{'S': '5c2933f1-64b8-463e-a6a1-c77cd876f128'}
{'N': '0'},{'S': '30ef4117-5407-4e57-a146-7d7b5220b33b'},"{'L': [{'M': {'productId': {'S': 'cfd91268-4da5-4fa7-ad23-4b8763477a2c'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': 'bb33bf85-ddab-4f2e-b186-e478c90ea1a9'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '94983fec-470b-4105-a113-d75830cce0ab'}, 'quantity': {'N': '1'}}}]}",{'S': '4cd2f3df-56f4-49e8-a9c7-d1bda618ed57'}
{'N': '0'},{'S': '89574048-65ef-4408-89bf-2bb157719adc'},"{'L': [{'M': {'productId': {'S': '95ebdf10-bd0e-4288-b450-46fefd3204af'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '94983fec-470b-4105-a113-d75830cce0ab'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '5d0f6935-d94f-44d4-95d0-fdab6b5b50a4'}, 'quantity': {'N': '4'}}}]}",{'S': '5bc36ac6-f5fb-4a54-89aa-0b6f41cf0942'}
{'N': '0'},{'S': 'bb6f0650-1f79-4945-b580-5d90c7711044'},"{'L': [{'M': {'productId': {'S': '62071cbb-1d66-40f3-9a03-7ec4df782a1f'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '27254a5c-ac7a-4031-8d02-0ff2834f6bd3'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '89a8e8e3-f62b-4082-8105-3ad994fd94cd'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '4e544aa2-9fb8-4fc3-9b5f-1efe995983b4'}, 'quantity': {'N': '1'}}}]}",{'S': 'd07bddbf-261f-42cf-91a3-f230e56b3f7b'}
{'N': '0'},{'S': '02358727-f939-4614-b110-af62117faa3f'},"{'L': [{'M': {'productId': {'S': '1de8bff6-6986-4a95-ae8b-7bd41296f3ae'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': 'be78d5a2-774a-480c-8370-0d1a4e4a62c1'}, 'quantity': {'N': '3'}}}]}",{'S': 'b34a855e-0fb2-4892-ad6d-5c08577abf01'}
{'N': '0'},{'S': '60e9883a-7e88-4498-ae2f-da76350661cd'},"{'L': [{'M': {'productId': {'S': '8a9e5bda-ad32-47fd-842b-773c5c5b67f7'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': 'e395da27-185b-4404-937e-82bec997c274'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '0b5982ed-f5de-48fb-939f-0e4658282523'}, 'quantity': {'N': '2'}}}]}",{'S': 'd07bddbf-261f-42cf-91a3-f230e56b3f7b'}
{'N': '0'},{'S': 'a20436e7-8ce8-4e39-a46d-7713b48248a5'},"{'L': [{'M': {'productId': {'S': '8165bf7a-d3c7-466e-862d-babd9deb8001'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '27254a5c-ac7a-4031-8d02-0ff2834f6bd3'}, 'quantity': {'N': '1'}}}]}",{'S': '653b69e9-466b-45ea-8cf7-ee89572a1ce3'}
{'N': '0'},{'S': '7e45d3b2-7cb2-43a3-956b-fcf5dab30c00'},"{'L': [{'M': {'productId': {'S': 'bb33bf85-ddab-4f2e-b186-e478c90ea1a9'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '95ebdf10-bd0e-4288-b450-46fefd3204af'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '0b5982ed-f5de-48fb-939f-0e4658282523'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '5d0f6935-d94f-44d4-95d0-fdab6b5b50a4'}, 'quantity': {'N': '4'}}}]}",{'S': 'aff2daf4-4a91-423e-ba1f-88ccc0589a0c'}
{'N': '0'},{'S': 'cd56bc49-a957-4a06-bedd-14f5d7b33530'},"{'L': [{'M': {'productId': {'S': '76877de1-cc00-4347-b4d9-57125e4cea2e'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '94983fec-470b-4105-a113-d75830cce0ab'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '1de8bff6-6986-4a95-ae8b-7bd41296f3ae'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '0b5982ed-f5de-48fb-939f-0e4658282523'}, 'quantity': {'N': '3'}}}]}",{'S': '4075fafe-f429-4c45-961d-10d5e8bcc210'}
{'N': '0'},{'S': '24952ae6-d98a-4b1d-8988-3f6f465a6f06'},"{'L': [{'M': {'productId': {'S': '2ec90391-a901-4ece-92d6-8328e3546e24'}, 'quantity': {'N': '4'}}}]}",{'S': 'aff2daf4-4a91-423e-ba1f-88ccc0589a0c'}
{'N': '0'},{'S': '3f4c6a86-5475-442a-a9e0-00fcb3dbbf59'},"{'L': [{'M': {'productId': {'S': 'fffdf35d-2ba9-41f3-823f-01cd094965e0'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': 'c21a4257-afe6-4447-ab6a-d29618ee8d8d'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '522f3760-5875-4712-978f-c00d37f03f27'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '5d0f6935-d94f-44d4-95d0-fdab6b5b50a4'}, 'quantity': {'N': '2'}}}]}",{'S': '4075fafe-f429-4c45-961d-10d5e8bcc210'}
{'N': '0'},{'S': '61be05ce-c1d5-4106-b727-08407aab490c'},"{'L': [{'M': {'productId': {'S': '95ebdf10-bd0e-4288-b450-46fefd3204af'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '3fdb58ff-b4ce-4a25-8457-1ea0f38e1831'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '1de8bff6-6986-4a95-ae8b-7bd41296f3ae'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '5d0f6935-d94f-44d4-95d0-fdab6b5b50a4'}, 'quantity': {'N': '3'}}}]}",{'S': 'b6463b72-650f-46d8-8c6e-ccdd88a584b6'}
{'N': '0'},{'S': 'a9a4bb8f-131c-4069-bb7e-f09914516581'},"{'L': [{'M': {'productId': {'S': '95ebdf10-bd0e-4288-b450-46fefd3204af'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '76877de1-cc00-4347-b4d9-57125e4cea2e'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '8a9e5bda-ad32-47fd-842b-773c5c5b67f7'}, 'quantity': {'N': '1'}}}]}",{'S': '4075fafe-f429-4c45-961d-10d5e8bcc210'}
